"Sample ID","Images for analysis","Cell type","Minimum Diameter (µm)","Maximum Diameter (µm)","Images","Cell sharpness","Minimum circularity","Decluster degree","Aspiration cycles","Viable spot brightness (%)","Viable spot area (%)","Mixing cycles","Analysis date/time","Reanalysis date/time","Analysis by","Reanalysis by","Dilution","Wash","Tag","Concentration Adjustment Factor (%)","ROW","COLUMN"
"PKU R24120 D3 V1","50","PCL HELA VERIFIED","13.00","24.50","50","7.00","0.50","High","3","75.0","5.0","3","5/2/2024 3:33:33 PM","","Vi-CELL","","1","Normal Wash","","0","Carousel","10"
"Part number","Lot number","Reagent","Expiration","In service date","Effective expiration"
"C06019","848012","Trypan Blue","12/14/2024 12:00:00 AM","4/29/2024 12:00:00 AM","7/28/2024 12:00:00 AM"
"Image#","Cell count","Viable cells","Total (x10^6) cells/mL","Viable (x10^6) cells/mL","Viability (%)","Average diameter (µm)","Average viable diameter (µm)","Average circularity","Average viable circularity","Average cells per image","Average background intensity","Bubble count","Cluster count"
"38","15","13","0.5652","0.4898","86.7","19.46","20.27","0.97","0.99","15","135","0","0"
"39","13","13","0.4898","0.4898","100.0","20.41","20.41","0.94","0.94","13","134","0","0"
"40","22","19","0.8289","0.7159","86.4","19.78","20.34","0.92","0.93","22","134","0","0"
"41","16","15","0.6028","0.5652","93.8","20.44","20.34","0.95","0.96","16","134","0","0"
"42","22","18","0.8289","0.6782","81.8","20.06","20.74","0.96","0.96","22","134","0","0"
"43","16","14","0.6028","0.5275","87.5","19.73","20.44","0.94","0.96","16","135","0","0"
"44","21","20","0.7912","0.7536","95.2","19.05","19.33","0.90","0.91","21","135","0","0"
"45","19","18","0.7159","0.6782","94.7","20.54","20.76","0.96","0.97","19","135","0","0"
"46","14","12","0.5275","0.4521","85.7","18.86","19.16","0.90","0.94","14","134","0","0"
"47","16","15","0.6028","0.5652","93.8","20.38","20.77","0.95","0.95","16","134","0","0"
"48","10","10","0.3768","0.3768","100.0","20.13","20.13","0.91","0.91","10","134","0","0"
"49","20","15","0.7536","0.5652","75.0","20.66","20.82","0.92","0.96","20","134","0","0"
"50","13","8","0.4898","0.3014","61.5","20.53","20.99","0.97","0.99","13","134","0","0"
"","","","","","","","","","","","","",""
"Total","858","768","0.6466","0.5787","89.5","20.23","20.47","0.94","0.95","17","135","0","0"
