Plate information 
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Measurement date	
1	1		14.48	19.27	19.21	20	19.8	19.76	19.6	1/11/2023 1:26:34 PM	


Background information
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo	
1	LANCE Eu/APC Dual Updated	0	78	100	00:00:00.000	De=1st Ex=Top Em=Top Wdw=1 (14)	
1	LANCE Eu/APC Dual Updated	0	65	20	00:00:00.000	De=2nd Ex=Top Em=Top Wdw=1 (142)	

			PltRpt=1 Group=1 LANCE Eu/APC Dual Updated(1) De=1st Ex=Top Em=Top Wdw=1 (14)				PltRpt=1 Group=1 LANCE Eu/APC Dual Updated(1) De=2nd Ex=Top Em=Top Wdw=1 (142)					
1		C04	248	248	100	00:00:27.912	261	261	20	00:00:28.322		
1		C05	232	232	100	00:00:28.690	367	367	20	00:00:28.457		
1		C06	228	228	100	00:00:29.001	276	276	20	00:00:29.412		
1		C07	256	256	100	00:00:29.779	335	335	20	00:00:29.546		
1		C08	276	276	100	00:00:30.091	277	277	20	00:00:30.502		
1		C09	228	228	100	00:00:30.869	339	339	20	00:00:30.636		
1		C10	236	236	100	00:00:31.181	278	278	20	00:00:31.592		
1		C11	192	192	100	00:00:31.959	335	335	20	00:00:31.726		
1		C12	280	280	100	00:00:32.270	306	306	20	00:00:32.680		
1		C13	240	240	100	00:00:33.047	339	339	20	00:00:32.814		
1		C14	264	264	100	00:00:33.359	299	299	20	00:00:33.770		
1		C15	240	240	100	00:00:34.137	331	331	20	00:00:33.904		
1		C16	280	280	100	00:00:34.449	311	311	20	00:00:34.860		
1		C17	224	224	100	00:00:35.228	324	324	20	00:00:34.994		
1		C18	256	256	100	00:00:35.539	288	288	20	00:00:35.950		
1		C19	264	264	100	00:00:36.317	320	320	20	00:00:36.084		
1		C20	296	296	100	00:00:36.629	351	351	20	00:00:37.039		
1		C21	264	264	100	00:00:37.406	387	387	20	00:00:37.173		
1		C22	264	264	100	00:00:37.717	338	338	20	00:00:38.128		
1		C23	264	264	100	00:00:38.495	451	451	20	00:00:38.262		
1		C24	316	316	100	00:00:38.807	421	421	20	00:00:39.217		
1		D01	216	216	100	00:00:51.947	1164	1164	20	00:00:52.357		
1		D02	196	196	100	00:00:51.635	1336	1336	20	00:00:51.402		
1		D03	248	248	100	00:00:50.857	1000	1000	20	00:00:51.267		
1		D04	256	256	100	00:00:50.545	280	280	20	00:00:50.312		
1		D05	264	264	100	00:00:49.768	271	271	20	00:00:50.178		
1		D06	236	236	100	00:00:49.456	349	349	20	00:00:49.223		
1		D07	289	289	100	00:00:48.678	303	303	20	00:00:49.089		
1		D08	232	232	100	00:00:48.366	321	321	20	00:00:48.133		
1		D09	300	300	100	00:00:47.589	303	303	20	00:00:47.999		
1		D10	204	204	100	00:00:47.277	329	329	20	00:00:47.044		
1		D11	240	240	100	00:00:46.499	263	263	20	00:00:46.910		
1		D12	216	216	100	00:00:46.188	354	354	20	00:00:45.955		
1		D13	244	244	100	00:00:45.409	245	245	20	00:00:45.820		
1		D14	248	248	100	00:00:45.098	365	365	20	00:00:44.865		
1		D15	296	296	100	00:00:44.320	275	275	20	00:00:44.731		
1		D16	256	256	100	00:00:44.009	341	341	20	00:00:43.775		
1		D17	264	264	100	00:00:43.231	298	298	20	00:00:43.641		
1		D18	346	346	100	00:00:42.920	516	516	20	00:00:42.687		
1		D19	268	268	100	00:00:42.142	317	317	20	00:00:42.553		
1		D20	276	276	100	00:00:41.830	363	363	20	00:00:41.597		
1		D21	316	316	100	00:00:41.053	338	338	20	00:00:41.463		
1		D22	321	321	100	00:00:40.741	402	402	20	00:00:40.508		
1		D23	309	309	100	00:00:39.963	448	448	20	00:00:40.374		
1		D24	340	340	100	00:00:39.651	515	515	20	00:00:39.418		
1		E01	209	209	100	00:00:52.787	1332	1332	20	00:00:52.554		
1		E02	284	284	100	00:00:53.098	1077	1077	20	00:00:53.509		
1		E03	188	188	100	00:00:53.876	927	927	20	00:00:53.643		
1		E04	236	236	100	00:00:54.188	289	289	20	00:00:54.598		
1		E05	248	248	100	00:00:54.966	346	346	20	00:00:54.733		
1		E06	252	252	100	00:00:55.278	322	322	20	00:00:55.688		
1		E07	248	248	100	00:00:56.056	353	353	20	00:00:55.823		
1		E08	260	260	100	00:00:56.367	307	307	20	00:00:56.777		
1		E09	261	261	100	00:00:57.146	351	351	20	00:00:56.912		
1		E10	260	260	100	00:00:57.457	272	272	20	00:00:57.868		
1		E11	240	240	100	00:00:58.235	330	330	20	00:00:58.002		
1		E12	240	240	100	00:00:58.547	313	313	20	00:00:58.957		
1		E13	220	220	100	00:00:59.325	370	370	20	00:00:59.091		
1		E14	252	252	100	00:00:59.636	304	304	20	00:01:00.047		
1		E15	228	228	100	00:01:00.414	357	357	20	00:01:00.181		
1		E16	228	228	100	00:01:00.726	277	277	20	00:01:01.137		
1		E17	236	236	100	00:01:01.504	337	337	20	00:01:01.270		
1		E18	248	248	100	00:01:01.816	320	320	20	00:01:02.226		
1		E19	277	277	100	00:01:02.594	386	386	20	00:01:02.361		
1		E20	264	264	100	00:01:02.906	379	379	20	00:01:03.316		
1		E21	269	269	100	00:01:03.684	449	449	20	00:01:03.451		
1		E22	320	320	100	00:01:03.996	380	380	20	00:01:04.406		
1		E23	313	313	100	00:01:04.774	531	531	20	00:01:04.541		
1		E24	300	300	100	00:01:05.085	385	385	20	00:01:05.497		
1		F01	196	196	100	00:01:18.228	1165	1165	20	00:01:18.638		
1		F02	244	244	100	00:01:17.916	1401	1401	20	00:01:17.683		
1		F03	212	212	100	00:01:17.138	871	871	20	00:01:17.548		
1		F04	256	256	100	00:01:16.826	375	375	20	00:01:16.593		
1		F05	232	232	100	00:01:16.048	258	258	20	00:01:16.458		
1		F06	276	276	100	00:01:15.736	385	385	20	00:01:15.503		
1		F07	260	260	100	00:01:14.959	302	302	20	00:01:15.369		
1		F08	249	249	100	00:01:14.647	341	341	20	00:01:14.414		
1		F09	244	244	100	00:01:13.869	278	278	20	00:01:14.279		
1		F10	192	192	100	00:01:13.557	386	386	20	00:01:13.324		
1		F11	264	264	100	00:01:12.779	273	273	20	00:01:13.190		
1		F12	264	264	100	00:01:12.467	323	323	20	00:01:12.234		
1		F13	256	256	100	00:01:11.690	321	321	20	00:01:12.100		
1		F14	212	212	100	00:01:11.378	334	334	20	00:01:11.145		
1		F15	276	276	100	00:01:10.600	339	339	20	00:01:11.010		
1		F16	296	296	100	00:01:10.288	327	327	20	00:01:10.055		
1		F17	272	272	100	00:01:09.511	312	312	20	00:01:09.921		
1		F18	240	240	100	00:01:09.199	408	408	20	00:01:08.966		
1		F19	268	268	100	00:01:08.421	315	315	20	00:01:08.831		
1		F20	292	292	100	00:01:08.110	462	462	20	00:01:07.877		
1		F21	364	364	100	00:01:07.332	419	419	20	00:01:07.743		
1		F22	301	301	100	00:01:07.020	509	509	20	00:01:06.787		
1		F23	388	388	100	00:01:06.242	454	454	20	00:01:06.653		
1		F24	292	292	100	00:01:05.931	540	540	20	00:01:05.697		
1		G01	220	220	100	00:01:19.072	447	447	20	00:01:18.839		
1		G02	244	244	100	00:01:19.384	316	316	20	00:01:19.794		
1		G03	237	237	100	00:01:20.161	378	378	20	00:01:19.928		
1		G04	256	256	100	00:01:20.473	267	267	20	00:01:20.884		
1		G05	216	216	100	00:01:21.251	342	342	20	00:01:21.018		
1		G06	244	244	100	00:01:21.563	286	286	20	00:01:21.973		
1		G07	224	224	100	00:01:22.341	360	360	20	00:01:22.108		
1		G08	240	240	100	00:01:22.653	282	282	20	00:01:23.063		
1		G09	245	245	100	00:01:23.430	379	379	20	00:01:23.197		
1		G10	220	220	100	00:01:23.743	295	295	20	00:01:24.153		
1		G11	228	228	100	00:01:24.521	332	332	20	00:01:24.288		
1		G12	260	260	100	00:01:24.832	276	276	20	00:01:25.243		
1		G13	269	269	100	00:01:25.611	349	349	20	00:01:25.377		
1		G14	234	234	100	00:01:25.922	311	311	20	00:01:26.333		
1		G15	248	248	100	00:01:26.701	322	322	20	00:01:26.467		
1		G16	248	248	100	00:01:27.012	313	313	20	00:01:27.423		
1		G17	252	252	100	00:01:27.790	377	377	20	00:01:27.557		
1		G18	276	276	100	00:01:28.102	300	300	20	00:01:28.512		
1		G19	273	273	100	00:01:28.879	398	398	20	00:01:28.646		
1		G20	309	309	100	00:01:29.191	375	375	20	00:01:29.601		
1		G21	280	280	100	00:01:29.969	407	407	20	00:01:29.736		
1		G22	348	348	100	00:01:30.281	417	417	20	00:01:30.691		
1		G23	358	358	100	00:01:31.059	569	569	20	00:01:30.825		
1		G24	369	369	100	00:01:31.370	501	501	20	00:01:31.781		
1		H01	260	260	100	00:01:44.511	326	326	20	00:01:44.922		
1		H02	256	256	100	00:01:44.200	463	463	20	00:01:43.967		
1		H03	269	269	100	00:01:43.422	340	340	20	00:01:43.832		
1		H04	224	224	100	00:01:43.110	371	371	20	00:01:42.877		
1		H05	256	256	100	00:01:42.332	290	290	20	00:01:42.743		
1		H06	241	241	100	00:01:42.020	346	346	20	00:01:41.787		
1		H07	244	244	100	00:01:41.241	281	281	20	00:01:41.652		
1		H08	224	224	100	00:01:40.930	373	373	20	00:01:40.697		
1		H09	212	212	100	00:01:40.152	275	275	20	00:01:40.563		
1		H10	220	220	100	00:01:39.840	335	335	20	00:01:39.607		
1		H11	257	257	100	00:01:39.062	277	277	20	00:01:39.473		
1		H12	257	257	100	00:01:38.751	313	313	20	00:01:38.518		
1		H13	288	288	100	00:01:37.974	354	354	20	00:01:38.384		
1		H14	224	224	100	00:01:37.662	363	363	20	00:01:37.429		
1		H15	248	248	100	00:01:36.884	340	340	20	00:01:37.295		
1		H16	253	253	100	00:01:36.573	394	394	20	00:01:36.339		
1		H17	292	292	100	00:01:35.792	312	312	20	00:01:36.203		
1		H18	296	296	100	00:01:35.481	390	390	20	00:01:35.248		
1		H19	336	336	100	00:01:34.704	364	364	20	00:01:35.114		
1		H20	272	272	100	00:01:34.392	429	429	20	00:01:34.159		
1		H21	324	324	100	00:01:33.614	412	412	20	00:01:34.024		
1		H22	296	296	100	00:01:33.302	496	496	20	00:01:33.069		
1		H23	398	398	100	00:01:32.525	554	554	20	00:01:32.936		
1		H24	351	351	100	00:01:32.214	598	598	20	00:01:31.981		
1		I01	288	288	100	00:01:45.353	444	444	20	00:01:45.120		
1		I02	301	301	100	00:01:45.665	340	340	20	00:01:46.076		
1		I03	264	264	100	00:01:46.444	415	415	20	00:01:46.210		
1		I04	240	240	100	00:01:46.756	318	318	20	00:01:47.166		
1		I05	244	244	100	00:01:47.534	395	395	20	00:01:47.301		
1		I06	236	236	100	00:01:47.845	275	275	20	00:01:48.256		
1		I07	252	252	100	00:01:48.623	366	366	20	00:01:48.390		
1		I08	236	236	100	00:01:48.935	296	296	20	00:01:49.345		
1		I09	240	240	100	00:01:49.713	331	331	20	00:01:49.480		
1		I10	268	268	100	00:01:50.025	269	269	20	00:01:50.435		
1		I11	220	220	100	00:01:50.802	304	304	20	00:01:50.569		
1		I12	248	248	100	00:01:51.115	323	323	20	00:01:51.525		
1		I13	228	228	100	00:01:51.893	336	336	20	00:01:51.660		
1		I14	276	276	100	00:01:52.204	345	345	20	00:01:52.615		
1		I15	256	256	100	00:01:52.983	412	412	20	00:01:52.749		
1		I16	248	248	100	00:01:53.294	327	327	20	00:01:53.705		
1		I17	280	280	100	00:01:54.072	397	397	20	00:01:53.839		
1		I18	301	301	100	00:01:54.383	366	366	20	00:01:54.794		
1		I19	288	288	100	00:01:55.161	389	389	20	00:01:54.928		
1		I20	276	276	100	00:01:55.473	406	406	20	00:01:55.883		
1		I21	345	345	100	00:01:56.251	468	468	20	00:01:56.018		
1		I22	321	321	100	00:01:56.562	427	427	20	00:01:56.972		
1		I23	344	344	100	00:01:57.341	602	602	20	00:01:57.108		
1		I24	306	306	100	00:01:57.653	412	412	20	00:01:58.063		
1		J01	236	236	100	00:02:10.795	335	335	20	00:02:11.206		
1		J02	270	270	100	00:02:10.484	432	432	20	00:02:10.250		
1		J03	284	284	100	00:02:09.706	335	335	20	00:02:10.116		
1		J04	256	256	100	00:02:09.394	426	426	20	00:02:09.161		
1		J05	276	276	100	00:02:08.616	321	321	20	00:02:09.027		
1		J06	224	224	100	00:02:08.305	338	338	20	00:02:08.071		
1		J07	260	260	100	00:02:07.527	303	303	20	00:02:07.937		
1		J08	228	228	100	00:02:07.214	348	348	20	00:02:06.981		
1		J09	252	252	100	00:02:06.437	294	294	20	00:02:06.847		
1		J10	250	250	100	00:02:06.124	421	421	20	00:02:05.891		
1		J11	268	268	100	00:02:05.346	326	326	20	00:02:05.757		
1		J12	241	241	100	00:02:05.035	415	415	20	00:02:04.801		
1		J13	280	280	100	00:02:04.256	312	312	20	00:02:04.667		
1		J14	229	229	100	00:02:03.946	356	356	20	00:02:03.712		
1		J15	269	269	100	00:02:03.168	310	310	20	00:02:03.578		
1		J16	233	233	100	00:02:02.856	392	392	20	00:02:02.623		
1		J17	292	292	100	00:02:02.079	325	325	20	00:02:02.489		
1		J18	284	284	100	00:02:01.767	398	398	20	00:02:01.534		
1		J19	327	327	100	00:02:00.989	343	343	20	00:02:01.399		
1		J20	348	348	100	00:02:00.676	463	463	20	00:02:00.443		
1		J21	325	325	100	00:01:59.899	415	415	20	00:02:00.309		
1		J22	322	322	100	00:01:59.587	480	480	20	00:01:59.354		
1		J23	385	385	100	00:01:58.810	461	461	20	00:01:59.220		
1		J24	313	313	100	00:01:58.498	441	441	20	00:01:58.265		
1		K01	240	240	100	00:02:11.636	448	448	20	00:02:11.402		
1		K02	273	273	100	00:02:11.948	318	318	20	00:02:12.358		
1		K03	272	272	100	00:02:12.726	446	446	20	00:02:12.493		
1		K04	260	260	100	00:02:13.038	306	306	20	00:02:13.448		
1		K05	284	284	100	00:02:13.816	403	403	20	00:02:13.583		
1		K06	260	260	100	00:02:14.128	280	280	20	00:02:14.538		
1		K07	229	229	100	00:02:14.905	321	321	20	00:02:14.672		
1		K08	216	216	100	00:02:15.216	288	288	20	00:02:15.627		
1		K09	228	228	100	00:02:15.994	343	343	20	00:02:15.761		
1		K10	288	288	100	00:02:16.306	300	300	20	00:02:16.716		
1		K11	196	196	100	00:02:17.084	341	341	20	00:02:16.851		
1		K12	248	248	100	00:02:17.396	320	320	20	00:02:17.806		
1		K13	276	276	100	00:02:18.173	356	356	20	00:02:17.940		
1		K14	280	280	100	00:02:18.485	286	286	20	00:02:18.896		
1		K15	240	240	100	00:02:19.264	333	333	20	00:02:19.030		
1		K16	220	220	100	00:02:19.575	334	334	20	00:02:19.986		
1		K17	240	240	100	00:02:20.353	372	372	20	00:02:20.120		
1		K18	264	264	100	00:02:20.665	351	351	20	00:02:21.075		
1		K19	252	252	100	00:02:21.443	442	442	20	00:02:21.210		
1		K20	300	300	100	00:02:21.754	426	426	20	00:02:22.165		
1		K21	316	316	100	00:02:22.532	460	460	20	00:02:22.298		
1		K22	292	292	100	00:02:22.843	428	428	20	00:02:23.254		
1		K23	340	340	100	00:02:23.621	486	486	20	00:02:23.388		
1		K24	252	252	100	00:02:23.933	409	409	20	00:02:24.344		
1		L01	284	284	100	00:02:37.074	283	283	20	00:02:37.484		
1		L02	256	256	100	00:02:36.762	417	417	20	00:02:36.529		
1		L03	268	268	100	00:02:35.984	292	292	20	00:02:36.395		
1		L04	228	228	100	00:02:35.673	427	427	20	00:02:35.440		
1		L05	300	300	100	00:02:34.895	317	317	20	00:02:35.305		
1		L06	264	264	100	00:02:34.583	368	368	20	00:02:34.350		
1		L07	261	261	100	00:02:33.805	303	303	20	00:02:34.216		
1		L08	256	256	100	00:02:33.494	342	342	20	00:02:33.261		
1		L09	280	280	100	00:02:32.715	354	354	20	00:02:33.126		
1		L10	240	240	100	00:02:32.403	334	334	20	00:02:32.170		
1		L11	296	296	100	00:02:31.625	338	338	20	00:02:32.036		
1		L12	260	260	100	00:02:31.314	424	424	20	00:02:31.081		
1		L13	257	257	100	00:02:30.536	339	339	20	00:02:30.947		
1		L14	260	260	100	00:02:30.224	369	369	20	00:02:29.991		
1		L15	292	292	100	00:02:29.446	349	349	20	00:02:29.857		
1		L16	253	253	100	00:02:29.135	374	374	20	00:02:28.902		
1		L17	276	276	100	00:02:28.358	357	357	20	00:02:28.768		
1		L18	236	236	100	00:02:28.046	377	377	20	00:02:27.813		
1		L19	345	345	100	00:02:27.269	429	429	20	00:02:27.679		
1		L20	365	365	100	00:02:26.957	504	504	20	00:02:26.724		
1		L21	321	321	100	00:02:26.179	376	376	20	00:02:26.590		
1		L22	328	328	100	00:02:25.867	513	513	20	00:02:25.634		
1		L23	360	360	100	00:02:25.089	452	452	20	00:02:25.499		
1		L24	324	324	100	00:02:24.778	487	487	20	00:02:24.545		
1		M01	241	241	100	00:02:37.918	400	400	20	00:02:37.685		
1		M02	265	265	100	00:02:38.229	269	269	20	00:02:38.640		
1		M03	292	292	100	00:02:39.007	438	438	20	00:02:38.774		
1		M04	212	212	100	00:02:39.319	255	255	20	00:02:39.729		
1		M05	212	212	100	00:02:40.097	370	370	20	00:02:39.863		
1		M06	300	300	100	00:02:40.408	326	326	20	00:02:40.819		
1		M07	236	236	100	00:02:41.187	336	336	20	00:02:40.953		
1		M08	252	252	100	00:02:41.499	261	261	20	00:02:41.910		
1		M09	224	224	100	00:02:42.277	373	373	20	00:02:42.044		
1		M10	253	253	100	00:02:42.588	271	271	20	00:02:42.998		
1		M11	264	264	100	00:02:43.366	370	370	20	00:02:43.133		
1		M12	260	260	100	00:02:43.678	321	321	20	00:02:44.088		
1		M13	272	272	100	00:02:44.456	311	311	20	00:02:44.223		
1		M14	288	288	100	00:02:44.768	370	370	20	00:02:45.178		
1		M15	268	268	100	00:02:45.545	375	375	20	00:02:45.312		
1		M16	233	233	100	00:02:45.857	359	359	20	00:02:46.267		
1		M17	228	228	100	00:02:46.635	384	384	20	00:02:46.402		
1		M18	301	301	100	00:02:46.947	389	389	20	00:02:47.358		
1		M19	296	296	100	00:02:47.725	459	459	20	00:02:47.492		
1		M20	296	296	100	00:02:48.037	425	425	20	00:02:48.447		
1		M21	300	300	100	00:02:48.815	437	437	20	00:02:48.582		
1		M22	332	332	100	00:02:49.127	423	423	20	00:02:49.537		
1		M23	276	276	100	00:02:49.904	503	503	20	00:02:49.671		
1		M24	324	324	100	00:02:50.215	366	366	20	00:02:50.625		
1		N01	256	256	100	00:03:03.358	308	308	20	00:03:03.769		
1		N02	220	220	100	00:03:03.047	364	364	20	00:03:02.813		
1		N03	256	256	100	00:03:02.268	256	256	20	00:03:02.679		
1		N04	257	257	100	00:03:01.956	413	413	20	00:03:01.723		
1		N05	248	248	100	00:03:01.177	293	293	20	00:03:01.588		
1		N06	228	228	100	00:03:00.865	372	372	20	00:03:00.632		
1		N07	296	296	100	00:03:00.087	384	384	20	00:03:00.498		
1		N08	204	204	100	00:02:59.776	379	379	20	00:02:59.542		
1		N09	272	272	100	00:02:58.998	304	304	20	00:02:59.408		
1		N10	240	240	100	00:02:58.686	336	336	20	00:02:58.453		
1		N11	240	240	100	00:02:57.909	298	298	20	00:02:58.319		
1		N12	256	256	100	00:02:57.596	384	384	20	00:02:57.363		
1		N13	220	220	100	00:02:56.818	321	321	20	00:02:57.228		
1		N14	260	260	100	00:02:56.506	309	309	20	00:02:56.273		
1		N15	244	244	100	00:02:55.729	350	350	20	00:02:56.139		
1		N16	272	272	100	00:02:55.417	368	368	20	00:02:55.184		
1		N17	300	300	100	00:02:54.639	360	360	20	00:02:55.050		
1		N18	256	256	100	00:02:54.327	437	437	20	00:02:54.094		
1		N19	316	316	100	00:02:53.549	351	351	20	00:02:53.960		
1		N20	268	268	100	00:02:53.238	437	437	20	00:02:53.005		
1		N21	313	313	100	00:02:52.461	415	415	20	00:02:52.871		
1		N22	289	289	100	00:02:52.149	465	465	20	00:02:51.916		
1		N23	308	308	100	00:02:51.371	424	424	20	00:02:51.782		
1		N24	280	280	100	00:02:51.060	442	442	20	00:02:50.827		
1		O01	240	240	100	00:03:04.201	443	443	20	00:03:03.967		
1		O02	260	260	100	00:03:04.512	299	299	20	00:03:04.923		
1		O03	204	204	100	00:03:05.290	338	338	20	00:03:05.057		
1		O04	249	249	100	00:03:05.602	295	295	20	00:03:06.013		
1		O05	228	228	100	00:03:06.380	379	379	20	00:03:06.147		
1		O06	236	236	100	00:03:06.693	292	292	20	00:03:07.104		
1		O07	244	244	100	00:03:07.471	338	338	20	00:03:07.238		
1		O08	269	269	100	00:03:07.783	326	326	20	00:03:08.193		
1		O09	236	236	100	00:03:08.561	322	322	20	00:03:08.328		
1		O10	208	208	100	00:03:08.873	280	280	20	00:03:09.283		
1		O11	208	208	100	00:03:09.651	325	325	20	00:03:09.418		
1		O12	248	248	100	00:03:09.962	305	305	20	00:03:10.373		
1		O13	224	224	100	00:03:10.739	348	348	20	00:03:10.506		
1		O14	224	224	100	00:03:11.051	285	285	20	00:03:11.461		
1		O15	260	260	100	00:03:11.829	324	324	20	00:03:11.595		
1		O16	228	228	100	00:03:12.140	307	307	20	00:03:12.551		
1		O17	240	240	100	00:03:12.918	408	408	20	00:03:12.685		
1		O18	276	276	100	00:03:13.230	359	359	20	00:03:13.640		
1		O19	228	228	100	00:03:14.007	366	366	20	00:03:13.774		
1		O20	256	256	100	00:03:14.319	403	403	20	00:03:14.729		
1		O21	296	296	100	00:03:15.097	399	399	20	00:03:14.864		
1		O22	272	272	100	00:03:15.409	440	440	20	00:03:15.820		
1		O23	296	296	100	00:03:16.187	387	387	20	00:03:15.954		
1		O24	272	272	100	00:03:16.499	397	397	20	00:03:16.909		
1		P01	281	281	100	00:03:29.640	386	386	20	00:03:30.051		
1		P02	328	328	100	00:03:29.329	508	508	20	00:03:29.096		
1		P03	268	268	100	00:03:28.551	281	281	20	00:03:28.962		
1		P04	224	224	100	00:03:28.239	343	343	20	00:03:28.006		
1		P05	249	249	100	00:03:27.462	322	322	20	00:03:27.873		
1		P06	224	224	100	00:03:27.151	477	477	20	00:03:26.918		
1		P07	244	244	100	00:03:26.373	303	303	20	00:03:26.783		
1		P08	220	220	100	00:03:26.061	346	346	20	00:03:25.828		
1		P09	285	285	100	00:03:25.283	360	360	20	00:03:25.693		
1		P10	208	208	100	00:03:24.971	350	350	20	00:03:24.738		
1		P11	212	212	100	00:03:24.193	288	288	20	00:03:24.604		
1		P12	216	216	100	00:03:23.882	352	352	20	00:03:23.648		
1		P13	272	272	100	00:03:23.104	308	308	20	00:03:23.514		
1		P14	264	264	100	00:03:22.792	354	354	20	00:03:22.559		
1		P15	248	248	100	00:03:22.014	327	327	20	00:03:22.424		
1		P16	236	236	100	00:03:21.701	398	398	20	00:03:21.468		
1		P17	256	256	100	00:03:20.923	360	360	20	00:03:21.334		
1		P18	284	284	100	00:03:20.612	396	396	20	00:03:20.379		
1		P19	312	312	100	00:03:19.834	332	332	20	00:03:20.244		
1		P20	236	236	100	00:03:19.522	359	359	20	00:03:19.289		
1		P21	316	316	100	00:03:18.744	371	371	20	00:03:19.154		
1		P22	336	336	100	00:03:18.432	502	502	20	00:03:18.199		
1		P23	256	256	100	00:03:17.654	392	392	20	00:03:18.065		
1		P24	298	298	100	00:03:17.343	399	399	20	00:03:17.110		

Basic assay information 
Assay ID: 				33
